Product Name,Cost Price,Selling Price
سنسر سدة,4.25,6
LED Bulb wكبس 12,0.65,1.1
ترانس سبوت 24-18w,0.85,1.5
ترانس سبوت 12-18w,0.7,1.5
علبة ماجيك ظاهرة,0.65,1
بلوطة جرس,0.35,1
24w سبوت ظاهر,3.1,6
سبوت مخفي 24w,3.75,5
بلوطة دركسيون Cosmostar,0.55,1.1
تست Digital,6.5,9
جنكسيون 10ml,0.45,1
LED Foldable Bulb Cosmostar 38w,4.5,7
غطا دجنتير مفرد,0.3,1.1
وصلة T8,0.16,0.5
LED Bulb Starlight 9w,0.55,1.1
Router TP-Link DSL 8961N,19,28
جنكسيون 6ml,0.25,0.5
جنكسيون تركي 25ml,0.45,1.1
جنكسيون 150A,4,5.5
فلتر DSL,0.9,2.2
وصلة بشريط 6way Cosmostar,7.25,12
وصلة بشريط 4way Cosmostar,6.25,10
وصلة بشريط 3way Cosmostar,5.5,8
توال 3M,0.7,1.1
T6 60cm,2.25,4
T6 120cm,3.25,6
MR16 LED Bulb Topram,0.65,1.1
Rope Ceiling,1.85,4
تحويلة دوي E14-E27,0.25,0.5
اسفين دق Italy,5,6.5
Power Supply 400w,8,10
Power Supply 300w,7,9
Power Supply 200w,5.5,8
Power Supply 100w,4.75,7
Power Supply 60w,4,6
تست صغير Orange,0.35,0.9
تست كبير Orange,0.5,1.1
JTC 8940,11,16
T8 60cm,0.85,1.5
T8 120cm,1.15,2
علام خزان 2m,8.5,12
علام خزان 1.5m,7.75,10
LED Bulb 12V 12w,0.75,2
Battery Charger 30A,17,25
Battery Charger 5A,5,8
12v Emtop مقدح بطارية,17,22
Heat Gun 1600w Wadfow,11,15
فرد شمع Ingco 100w,4,7
مقدح ingco 12v عرض بطاريتين,23,32
نواصة LED 1w,0.35,0.8
Edison Bulb لمبة ديكور A60 8w,1,2
Edison Bulb لمبة ديكور A60 5w,0.85,2
Edison Bulb لمبة ديكور G45 4w YGT,0.85,2
Vimar بريز شوكو 14208,4.75,6
Vimar كباس 14050,9.95,12
Vimar مفتاح جرس 14008,3.35,4
Vimar مفتاح دركسيون 14004,3.1,4
Vimar سدة 14041,0.55,1
Vimar مفتاح 14000,2.28,3
Vimar بريز 14233,3.35,4
Vimar غطا,1.75,2
شاسي Vimar,0.9,1.5
لمبة اشارة بشريط,0.15,0.5
لمبة براد E17,0.2,0.5
لمبة براد E14,0.17,0.5
ركور دوي جالس,0.5,1
ركور دوي اعوج,0.5,1
Filament Lamp E14 Osram,0.95,2
كونتكتير CHNT 4PH 2504,8.5,14
Max T5 30cm,1.45,2
Max T5 60cm,1.65,2.5
Max T5 90cm,1.75,3
Max T5 120cm,1.85,3.3
Filament Lamp E14 6w,0.55,1.1
سبوت مخفي Max 12w,1.65,2.8
سبوت مخفي Max 9w,1.55,2.5
سبوت مخفي Max 6w,1.35,2
سبوت مخفي Max 3w,0.85,2
علبة ماجيك,0.2,0.5
علبة جمع ظاهرة 10x15,1.55,3
علبة جمع ظاهرة 10x10,0.85,2.2
علبة جمع ظاهرة 15x20,2,5
علبة جمع ظاهرة 18x23,3.5,6
علبة جمع ظاهرة 24x32,7,10
علبة جمع ظاهرة 24x32,11.5,15
TopPlus LED Bulb 26w,2.25,3.5
رباط بلاستيك 7.6x350,2.25,4
رباط بلاستيك 7.6x250,1.5,2.5
رباط بلاستيك 4.8x400,1.4,2.5
رباط بلاستيك 4.8x350,1.2,2.2
رباط بلاستيك 4.8x300,0.9,2
رباط بلاستيك 4.8x250,0.8,2
رباط بلاستيك 4.8x200,0.7,1.5
STICK Lamp Tango 15w,1.1,2
STICK Lamp Tango 9w,0.7,1.5
STICK Lamp Tango 5w,0.55,1
فيش ذكر اعوج ستلايت,0.17,0.5
فيش ذكر ستلايت,0.13,0.5
تيه ستلايت,0.17,0.5
وصلة ستلايت,0.1,0.5
عزقة ستلايت,0.08,0.3
جرس كهرباء Blue,1.1,2.2
Wireless جرس,2.5,3.5
ضو زمور اشارة,0.75,2
دجنتير اشارة LED,0.75,1.5
كاوي صيني 30w,2,4
ساعة V/A Aelifv,5,8
كونتكتير (A26/40A) ABB,43.5,46
كونتكتير (A9/25A) ABB,19,22
كونتكتير Amiral,3,5
2508 كونتكتير Cosmostar 40A,4.5,8
هاوس Sopoka 2x60A,10,12
هاوس Sopoka 2x30A,5,7
هاوس بورسلان 2x63A,4.65,7
هاوس بورسلان 2x32A,3.25,5
هاوس Orange 3PHx100A,5,7
هاوس Orange 2x63A,1.75,2.5
هاوس Orange 2x32A,0.9,2
اتاش صيني 14ml,1.75,3
اتاش صيني 12ml,1.55,2
اتاش Pelsen 22ml,3.15,5
اتاش Pelsen 20ml,2.8,5
اتاش Pelsen 18ml,4.4,7
اتاش Pelsen 10ml,1.75,3.5
اتاش Pelsen 8ml,1.15,3
اتاش Pelsen 7ml,1.05,2.5
اتاش Pelsen 6ml,1,2.2
دجنتير Sassin مثلث 50-63A,6.25,10
دجنتير Sassin مثلث 40A,5.5,8
دجنتير Sassin مثلث 16-32A,4.75,7
دجنتير Sassin مجوز 50A,4.25,7
دجنتير Sassin مجوز 40A,3.75,7
دجنتير Sassin مجوز 10-32A,3.25,6
دجنتير Sassin مفرد 50-63A,1.85,3.5
دجنتير Sassin مفرد 40A,1.65,3
دجنتير Sassin مفرد 10-32A,1.35,2.5
دجنتير ABB مثلث 50-63A,27.6,30
دجنتير ABB مثلث 16-32A,13.05,16
دجنتير ABB مجوز 50A,14.85,17
دجنتير ABB مجوز 40A,9.3,12
دجنتير ABB مجوز 10-32A,9.1,11
دجنتير ABB مفرد 63A,8.05,11
دجنتير ABB مفرد 50A,8.05,11
دجنتير ABB مفرد 40A,3.25,5
دجنتير ABB مفرد 6-32A,3,4.4
"شفاط مدور زجاج 8""",8.5,12
"شفاط مدور زجاج 6""",7.5,10
"شفاط بلاستيك 12""",10.5,18
"شفاط بلاستيك 10""",9.6,15
"شفاط بلاستيك 8""",8.5,12
سكة اوميغا,0.65,2.2
"شفاط صناعي 20"" TENC",35.36,45
"شفاط صناعي 16"" TENC",27.04,35
"شفاط صناعي 14"" TENC",16.43,25
"شفاط صناعي 10"" TENC",13,20
CashCable 60x60,2.6,6
مخرم CashCable 40x60,2,4
مخرم CashCable 40x25,1.3,3
CashCable 60X40,2.2,3.5
وصلة بشريط 3way,1.75,3
وصلة بشريط 4way,1.8,4
سبوت ظاهر Max 18w,2.25,4
سبوت مخفي Max 18w,2.15,3
Frameless Spot 36w TENC,2.5,5
Frameless Spot 24w,1.8,4
Frameless Spot 18w,1.45,3
Frameless Spot 9w,1,2
دجنتير اشتراك CBI 20A,7.35,10
دجنتير اشتراك CBI 15A,7.35,10
دجنتير اشتراك CBI 10A,7.35,10
دجنتير اشتراك CBI 6A,8.5,11
دجنتير اشتراك CBI 5A,8.5,11
دجنتير اشتراك CBI 3A,9.4,12
دجنتير اشتراك CBI 2.5A,9.4,12
راسور تسحيب اصفر 25m,5.5,12
راسور تسحيب اصفر 20m,4.5,10
راسور تسحيب اصفر 15m,3.25,7
راسور تسحيب اصفر 5m,1.25,3
بريز ماجيك,0.37,1
مفتاح ماجيك,0.37,1
Bathroom Aspirator 6inch,6.25,10
Bathroom Aspirator 5inch,5.25,8
Bathroom Aspirator 4inch,4.25,7
دوي برم صيني,0.28,0.5
دوي برم Italy,0.31,1.1
كادر بلا شريط Sopoka,1.1,2.2
فيش ادبتر Sopoka,0.55,1.1
بريز ظاهر مجوز Sopoka,0.8,1.6
بريز ظاهر مفرد Sopoka,0.6,1.1
فيش ذكر اعوج Sopoka,0.65,1.1
فيش ذكر Sopoka 5ml,0.65,1.1
فيش انثى شوكو Sopoka,0.95,2
فيش انثى خفيف Sopoka,0.3,0.55
تابلو مخفي 24way,6.5,12
تابلو مخفي 16way,5.5,9
تابلو مخفي 12way,4.5,8
تابلو ظاهر 36way,11,15
تابلو ظاهر 24way,7.5,12
تابلو ظاهر 18way,6,10
تابلو ظاهر 12way,4.5,8
تابلو ظاهر 8way,3.5,7
تابلو ظاهر 6way,3,6
تابلو ظاهر 4way,2.5,5
CashCable 40X40,1.4,3
CashCable 25X40,1.1,2.5
CashCable 15x10,0.32,1
CashCable 12X12,0.32,1
CashCable 16X16,0.4,1.1
CashCable 20x10,0.44,1.1
CashCable 25x25,0.8,2
CashCable 25x16,0.8,1.65
Power Supply 500w 24v,10.5,13
Power Supply 400w 24v,8,10
Power Supply 300w 24v,7,9
Power Supply 200w 24v,6,8
Power Supply 150w 24v,5,7
Power Supply 100w 24v,4,6
Signal Cat6 305,32,37
علبة متمنة مخفي,0.12,0.3
تلزيق شفاف,0.4,1
فحم,0.22,0.55
Strip LED 12v 60cm,1.25,2
علام خزان 1.8m,8.75,12
علام خزان 1.7m,8.5,12
علام خزان 1.3m,7.25,11
دوي MR16,0.13,0.3
Frameless Square 36w,2.5,4.5
تيب حراري 20,14,18
تيب حراري 16,10.5,15
دجنتير اشارة LED TENC,0.5,1
Wirenet Gray P1,0.8,2
Wirenet Blue P2,1.2,3
Wirenet Red P6,3.25,6
Konnice LED Bulb 16w,0.5,1
فيش انثى روسي,0.43,1
LED CCT 24w e27,4.75,7.5
LED CCT 18w e27,3.9,6
Ingco راس مقدح,3.5,6
فيش ذكر روسي,0.43,1
